id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,I,1.2875,1.075,0.3625,19.43358225,8.3064035,4.309124,6.6621325,9.0
1,F,1.55,1.2125,0.425,33.8776525,13.70698325,6.67630725,10.0640725,14.0
2,M,1.3875,1.0625,0.35,23.3883375,9.99319875,5.556502,5.8116475,11.0
3,F,1.4375,1.125,0.4375,27.499015,11.2547515,5.329706,7.93786,22.0
4,M,1.525,1.225,0.425,32.4601775,13.9196045,7.5693165,8.788345,10.0
5,F,1.55,1.275,0.5,33.26813825,12.3887315,8.60407325,11.056305,12.0
6,M,1.5375,1.2125,0.4125,33.40988575,14.04717725,8.1930055,8.448151,12.0
7,M,1.3,1.025,0.325,19.74542675,6.76135575,4.63514325,5.2446575,14.0
8,M,1.525,1.175,0.475,33.12639075,17.61921425,7.38504475,8.0796075,10.0
9,I,0.8875,0.675,0.225,6.39281225,2.82077525,1.190679,1.40330025,5.0
10,F,1.5,1.175,0.4,27.9242575,13.19669225,5.2446575,7.83863675,11.0
11,I,1.1125,0.8375,0.2625,9.25611175,3.86970675,1.63009625,2.8632995,7.0
12,M,1.4875,1.075,0.3875,28.066005,13.947954,4.55009475,6.520385,11.0
13,M,1.2125,0.8875,0.3125,16.34348675,6.860579,4.025629,4.9611625,11.0
14,F,1.4875,1.2375,0.4375,35.777069,11.8784405,7.6260155,11.623295,12.0
15,M,1.15,0.8875,0.3125,14.5999925,5.96756975,3.50116325,4.9611625,8.0
16,F,1.425,1.1,0.425,23.870279,8.561549,4.139027,7.087375,11.0
17,M,1.3875,1.0875,0.35,22.0275615,10.8011595,4.09650275,6.9456275,9.0
18,F,1.4625,1.15,0.4125,28.81726675,11.75086775,5.71242425,10.3475675,17.0
19,M,1.7125,1.3125,0.4375,38.79629075,16.48523425,8.34892775,11.056305,10.0
20,M,1.5125,1.2125,0.4375,28.10852925,10.61688775,6.90310325,10.0640725,9.0
21,F,1.7375,1.425,0.4875,53.14113775,26.32251075,10.56018875,14.3164975,11.0
22,F,1.8,1.4,0.5,44.04094825,20.34076625,10.716111,12.190285,9.0
23,I,1.35,1.0125,0.375,16.8679525,7.6260155,3.33106625,6.0951425,9.0
24,M,1.3625,1.125,0.4,25.69882175,11.8784405,4.365823,7.2291225,10.0
25,I,0.7,0.525,0.1875,3.3168915,1.17650425,0.793786,0.9922325,8.0
26,M,1.375,1.05,0.425,22.5378525,10.47514025,5.54232725,5.8116475,10.0
27,F,1.6,1.2,0.4125,35.19590425,14.69921575,5.82582225,11.169703,20.0
28,I,1.1875,0.925,0.3125,15.3937785,6.73300625,3.118445,4.3941725,8.0
29,F,1.5875,1.2625,0.4125,37.15201975,15.86154525,8.221355,9.7805775,11.0
30,F,1.5375,1.175,0.375,30.0221205,10.8011595,6.0951425,10.0640725,11.0
31,M,1.4375,1.125,0.3875,28.81726675,10.95708175,6.98815175,9.31281075,13.0
32,F,1.475,1.2375,0.4625,27.555714,11.963489,6.36446275,8.50485,11.0
33,F,1.5625,1.225,0.3875,31.6096925,13.11164375,7.01650125,9.355335,13.0
34,F,1.6,1.3125,0.475,42.807745,18.937466,9.8372765,11.3398,13.0
35,F,1.3125,1.0,0.35,21.6873675,9.87980075,4.18155125,5.953395,9.0
36,F,1.5,1.1625,0.375,28.42037375,12.40290625,6.64795775,7.7961125,11.0
37,I,1.2375,0.95,0.4,14.5432935,5.953395,3.81300775,4.932813,9.0
38,F,1.4875,1.15,0.3625,25.51455,11.83591625,5.386405,7.5126175,11.0
39,I,0.725,0.525,0.1875,3.30271675,1.54504775,0.8788345,0.9922325,5.0
40,F,1.4375,1.125,0.3625,28.7180435,13.324265,6.08096775,8.0796075,12.0
41,F,1.5125,1.1625,0.4125,31.79396425,12.927372,6.13766675,8.6465975,17.0
42,F,1.2125,0.8875,0.3125,15.43630275,7.78193775,3.40194,4.819415,8.0
43,F,1.65,1.3125,0.4875,38.65454325,16.51358375,8.5898985,11.90679,11.0
44,F,1.6375,1.2625,0.475,39.41997975,18.07280625,8.4765005,11.623295,14.0
45,M,1.475,1.1375,0.3875,26.308336,9.6671795,5.06038575,7.37087,12.0
46,I,1.0125,0.775,0.225,8.8166945,3.912231,1.63009625,2.4097075,8.0
47,F,1.6,1.3125,0.4375,36.0322145,17.73261225,8.0229085,11.12717875,10.0
48,F,1.5125,1.1875,0.35,31.6096925,14.628342,6.13766675,8.3631025,13.0
49,M,1.375,1.0625,0.35,23.94115275,10.8011595,4.83358975,6.9456275,10.0
50,F,1.2625,0.9375,0.3375,15.83319575,6.76135575,3.04757125,4.819415,17.0
51,M,1.5875,1.2375,0.4375,36.61337925,14.628342,8.74582075,11.056305,13.0
52,I,1.1875,0.8875,0.3125,13.53688625,5.06038575,2.9766975,3.8271825,7.0
53,M,0.95,0.7125,0.225,7.9662095,3.61456125,1.757669,2.1262125,10.0
54,I,0.875,0.6875,0.1875,5.556502,2.62232875,1.077281,1.8427175,7.0
55,I,1.0875,0.8375,0.2625,11.55242125,6.406987,2.2396105,2.83495,7.0
56,M,1.4,1.0875,0.3125,22.80717275,8.68912175,4.89028875,6.0951425,8.0
57,I,0.7,0.5125,0.2125,2.721552,1.0489315,0.60951425,0.850485,5.0
58,M,1.575,1.25,0.4125,36.7126025,16.96717575,8.391452,8.9300925,9.0
59,F,1.3875,1.1,0.3375,23.99785175,8.7032965,4.86193925,6.3786375,13.0
60,M,1.3,1.0375,0.3625,18.71067,7.540967,4.89028875,7.5126175,11.0
61,I,0.675,0.5125,0.1875,3.72795925,1.587572,0.77961125,0.850485,7.0
62,M,1.1375,0.8625,0.3,11.2547515,6.5487345,2.3530085,3.5436875,7.0
63,I,0.6,0.475,0.1375,2.16873675,1.13398,0.510291,0.60951425,5.0
64,I,1.15,0.875,0.325,13.48018725,5.71242425,2.8066005,4.3941725,9.0
65,I,1.0375,0.8125,0.2625,10.24834425,4.43669675,1.97029025,3.21766825,8.0
66,F,1.55,1.25,0.4,36.457457,13.79203175,7.24329725,11.1980525,21.0
67,I,1.2875,0.9875,0.3,18.313777,9.07184,3.7137845,4.9611625,9.0
68,M,1.425,1.1625,0.375,26.2232875,11.793392,5.54232725,7.7961125,10.0
69,M,1.525,1.2,0.3875,29.937072,13.16834275,6.90310325,8.74582075,9.0
70,I,0.525,0.4125,0.1,1.82854275,0.60951425,0.2551455,0.4252425,5.0
71,M,1.3125,1.025,0.375,24.7491135,9.62465525,5.6982495,6.6621325,8.0
72,F,1.6125,1.3125,0.425,36.38658325,12.34620725,8.63242275,10.489315,16.0
73,M,1.5125,1.175,0.4,25.86891875,10.61688775,4.8477645,11.056305,19.0
74,M,1.1875,0.925,0.3,15.5071765,6.5487345,3.6003865,3.8271825,8.0
75,I,0.9,0.6875,0.2375,6.8322295,2.721552,1.34660125,1.71514475,6.0
76,I,1.45,1.15,0.3875,23.37416275,10.75863525,4.479221,5.443104,9.0
77,I,0.85,0.65,0.1875,5.10291,2.211261,1.6726205,1.5592225,6.0
78,F,1.475,1.1375,0.3875,27.91008275,12.71475075,5.8683465,10.0640725,19.0
79,I,0.7,0.525,0.2,3.96893,1.5025235,0.963883,0.907184,6.0
80,I,1.2375,0.9625,0.275,13.16834275,5.71242425,2.721552,4.252425,8.0
81,F,1.2125,0.9125,0.35,14.50076925,6.747181,3.04757125,4.9611625,11.0
82,I,1.375,1.075,0.3375,23.28911425,11.2547515,4.6209685,5.953395,8.0
83,I,0.8,0.5625,0.175,4.6209685,1.74349425,0.963883,1.3324265,6.0
84,M,1.55,1.225,0.45,32.41765325,16.3009625,7.01650125,8.788345,10.0
85,F,1.425,1.125,0.425,27.68328675,12.47378,5.99591925,8.3631025,13.0
86,I,1.2,0.8875,0.2875,14.18892475,5.65572525,3.04757125,5.2446575,9.0
87,F,1.125,0.9375,0.3375,22.169309,7.257472,4.139027,8.0796075,9.0
88,F,1.4375,1.1125,0.375,26.1098895,12.3320325,5.74077375,7.93786,10.0
89,I,0.9125,0.65,0.225,6.53455975,2.70737725,1.020582,2.1262125,6.0
90,M,1.6,1.25,0.3875,39.27823225,17.73261225,7.83863675,10.61688775,11.0
91,I,0.875,0.65,0.2375,5.6699,2.48058125,0.86465975,1.8427175,5.0
92,F,1.5,1.1625,0.375,34.302895,14.04717725,7.2291225,7.2291225,12.0
93,F,1.15,0.875,0.3375,13.99047825,4.8477645,3.2601925,4.3941725,9.0
94,I,1.175,0.875,0.2625,12.3320325,4.309124,2.3530085,3.40194,5.0
95,I,1.2,0.8875,0.3,14.7700895,6.2652395,3.4869885,4.53592,9.0
96,I,0.5875,0.425,0.125,1.814368,0.60951425,0.396893,0.56699,5.0
97,M,1.375,1.075,0.3375,22.4244545,9.5537815,4.6209685,6.13766675,11.0
98,M,1.3875,1.075,0.3625,23.700182,8.561549,4.26659975,7.5126175,10.0
99,F,1.575,1.225,0.4,31.51046925,16.159215,7.83863675,7.37087,11.0
100,I,1.025,0.7875,0.2375,10.64523725,4.9611625,2.14038725,2.9766975,7.0
101,I,1.25,0.9375,0.3125,15.15280775,6.25106475,3.175144,4.3941725,7.0
102,M,1.575,1.2,0.4625,31.25532375,14.288148,5.8683465,9.07184,9.0
103,F,1.475,1.1,0.3875,31.808139,10.90038275,7.66853975,10.942907,13.0
104,F,1.7,1.3,0.45,48.874538,24.7491135,9.8372765,12.3320325,10.0
105,M,1.4875,1.1875,0.4125,26.365035,10.6310625,6.98815175,7.654365,11.0
106,I,1.325,1.0375,0.375,18.030282,5.9817445,4.5075705,5.953395,11.0
107,F,1.525,1.175,0.475,30.957654,12.3320325,7.41339425,10.489315,14.0
108,F,1.425,1.0875,0.3875,24.76328825,10.47514025,4.60679375,7.7961125,12.0
109,I,1.25,0.9875,0.3125,15.195332,6.81805475,3.6003865,4.40834725,8.0
110,I,1.1625,0.8875,0.3125,12.6722265,5.783298,2.79242575,3.685435,7.0
111,I,0.9375,0.7,0.25,6.53455975,2.83495,1.23320325,2.551455,7.0
112,I,0.9375,0.675,0.2125,6.76135575,3.345241,1.2757275,1.97029025,7.0
113,I,1.1,0.85,0.2875,11.55242125,5.37223025,2.33883375,3.40194,10.0
114,I,0.5875,0.4125,0.1375,1.6726205,0.66621325,0.35436875,0.56699,4.0
115,F,1.4875,1.2125,0.4,31.9498865,15.52135125,6.13766675,8.50485,12.0
116,F,1.625,1.25,0.425,38.90968875,15.5638755,8.4198015,10.70193625,12.0
117,F,1.3,1.0,0.3625,20.31241675,9.99319875,4.57844425,5.6699,10.0
118,I,1.25,1.0,0.3125,18.75319425,8.5331995,3.81300775,6.23689,11.0
119,F,1.625,1.2625,0.4125,39.7743485,19.447757,8.4198015,10.3475675,10.0
120,I,1.05,0.8,0.2625,10.73028575,5.31553125,2.22543575,2.83495,8.0
121,F,1.4125,1.1,0.3875,24.84833675,9.298636,5.8116475,7.7961125,10.0
122,M,1.5375,1.2,0.375,30.4190135,13.097469,6.36446275,8.0796075,9.0
123,M,1.3,1.0625,0.3375,26.40755925,10.149121,5.159609,8.0796075,9.0
124,M,1.4875,1.15,0.3875,29.97959625,12.1052365,5.40057975,7.2291225,13.0
125,M,1.5125,1.225,0.4375,32.4601775,13.9196045,7.89533575,9.19941275,10.0
